"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1861","test_order_positive_flow[top_button-\u0410\u043d\u043d\u0430-\u0421\u043c\u0438\u0440\u043d\u043e\u0432\u0430-\u041c\u043e\u0441\u043a\u0432\u0430, \u043f\u0440. \u041c\u0438\u0440\u0430, 10-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79998887766-02.10.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0414\u043e\u043c\u043e\u0444\u043e\u043d \u043d\u0435 \u0440\u0430\u0431\u043e\u0442\u0430\u0435\u0442]","tests","2026-09-18","passed","2026-09-18","TestOrderAndNavigation","test_order","",""
"","1881","test_order_positive_flow[bottom_button-\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u0410\u0440\u0431\u0430\u0442, 1-\u0427\u0435\u0440\u043a\u0438\u0437\u043e\u0432\u0441\u043a\u0430\u044f-+79991112233-01.10.2026-\u0441\u0443\u0442\u043a\u0438-\u041a\u043e\u043c\u043c\u0435\u043d\u0442\u0430\u0440\u0438\u0439: \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0437\u0430 \u0447\u0430\u0441]","tests","2026-09-18","passed","2026-09-18","TestOrderAndNavigation","test_order","",""
"","109","test_faq_question_and_answer[2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","104","test_faq_question_and_answer[1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","546","test_faq_question_and_answer[6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","96","test_faq_question_and_answer[4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","552","test_faq_question_and_answer[0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","208","test_logo_scooter_redirect_to_main","tests","2026-09-18","passed","2026-09-18","TestOrderAndNavigation","test_order","",""
"","96","test_faq_question_and_answer[5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]","tests","2026-09-18","passed","2026-09-18","TestFAQ","test_faq","",""
"","1906","test_order_positive_flow[top_button-\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u0410\u0440\u0431\u0430\u0442, 1-\u0427\u0435\u0440\u043a\u0438\u0437\u043e\u0432\u0441\u043a\u0430\u044f-+79991112233-01.10.2026-\u0441\u0443\u0442\u043a\u0438-\u041a\u043e\u043c\u043c\u0435\u043d\u0442\u0430\u0440\u0438\u0439: \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0437\u0430 \u0447\u0430\u0441]","tests","2026-09-18","passed","2026-09-18","TestOrderAndNavigation","test_order","",""
